"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color"
"2582-21","1","2582-21","Cid. Pedro José Nunes - Term. Pq. D. Pedro Ii","3","",""
"2583-10","1","2583-10","Vl. Curuçá - Term. Aricanduva","3","",""
"2590-10","1","2590-10","União De Vl. Nova - Pq. D. Pedro Ii","3","",""
"2626-10","1","2626-10","Jd. Nazaré - Term. Pq. D. Pedro Ii","3","",""
"2628-10","1","2628-10","Jd. Nazaré - Term. Aricanduva","3","",""
"2628-22","1","2628-22","Jd. Nazaré - Term. São Miguel","3","",""
"263C-10","1","263C-10","Jd. Helena - Cohab Ii","3","",""
"263J-10","1","263J-10","Penha - Conj. José Bonifácio","3","",""
"2666-10","1","2666-10","Jd. Camargo Velho - Term. Pq. D. Pedro Ii","3","",""
"2666-21","1","2666-21","Jd. Camargo Velho - Term. Pq. D. Pedro Ii","3","",""
"2678-10","1","2678-10","Oliveirinha - Term. Pq. D. Pedro Ii","3","",""
"2678-41","1","2678-41","Jd. Camargo Novo - Term. Pq. D. Pedro Ii","3","",""
"2702-10","1","2702-10","Vl. Americana - Metrô Artur Alvim","3","",""
"2702-21","1","2702-21","Jd. Pedro José Nunes - Metrô Artur Alvim","3","",""
"2703-10","1","2703-10","Jd. Etelvina - Metrô Itaquera","3","",""
"2703-21","1","2703-21","Jd. Etelvina - Metrô Itaquera","3","",""
"2703-22","1","2703-22","Jd. Gianetti - Metrô Itaquera","3","",""
"2704-10","1","2704-10","Jd. Robru - Metrô Itaquera","3","",""
"2705-10","1","2705-10","Jd. Fanganielo - Metrô Itaquera","3","",""
"2706-10","1","2706-10","Cem. Da Saudade - Metrô Vl. Matilde","3","",""
"2707-10","1","2707-10","Chabilândia - Metrô Itaquera","3","",""
"2707-31","1","2707-31","Chabilândia - Metrô Itaquera","3","",""
"2708-10","1","2708-10","Jd. Lajeado - Metrô Itaquera","3","",""
"2709-10","1","2709-10","Metrô Patriarca - Vl. União","3","",""
"2709-31","1","2709-31","Metrô Patriarca - Vl. União","3","",""
"2710-10","1","2710-10","Metrô Patriarca - Burgo Paulista","3","",""
"2710-31","1","2710-31","Metrô Patriarca - Vl. São Francisco","3","",""
"2711-10","1","2711-10","Ponte Rasa - Metrô Patriarca","3","",""
"2712-10","1","2712-10","Jd. São Nicolau - Shop. Metrô Itaquera","3","",""
"2713-10","1","2713-10","Metrô Penha - Chác. Bela Vista","3","",""
"2714-10","1","2714-10","Metrô Vl. Matilde - Vl. Rui Barbosa","3","",""
"2715-10","1","2715-10","Vl. Sílvia - Metrô Patriarca","3","",""
"2716-10","1","2716-10","Chác. Cruz. Do Sul - Metrô Penha","3","",""
"2717-10","1","2717-10","Metrô Guilhermina/esperança - Cangaíba","3","",""
"2718-10","1","2718-10","Vl. Sílvia - Metrô Penha","3","",""
"2719-10","1","2719-10","Ermelino Matarazzo - Metrô Vl. Matilde","3","",""
"271A-10","1","271A-10","Term. Penha - Metrô Santana","3","",""
"271A-51","1","271A-51","Cangaíba - Metrô Santana","3","",""
"271C-10","1","271C-10","Pq. Vl. Maria - Term. Princ. Isabel","3","",""
"271F-10","1","271F-10","Shop. Center Norte - Metrô Belém     ","3","",""
"271M-10","1","271M-10","Pq. Novo Mundo - Metrô Santana","3","",""
"271P-10","1","271P-10","Cangaíba - Luz","3","",""
"2720-10","1","2720-10","Jd. Belém - Metrô Guilhermina/esperança","3","",""
"2720-31","1","2720-31","Jd. Belém - Metrô Guilhermina/esperança","3","",""
"2721-10","1","2721-10","Jd. Nazaré - Metrô Itaquera","3","",""
"2722-10","1","2722-10","Jd. Veronia - Metrô Guilhermina/esperança","3","",""
"2722-31","1","2722-31","Metrô Guilhermina/esperança - Jd. Verônia","3","",""
"2723-10","1","2723-10","União De Vl. Nova - Metrô Itaquera","3","",""
"2724-10","1","2724-10","Metrô Artur Alvim - Conj. Araucária","3","",""
"2725-10","1","2725-10","Metrô Artur Alvim - Jd. São Carlos","3","",""
"2726-10","1","2726-10","Limoeiro - Metrô Penha","3","",""
"2727-10","1","2727-10","Metrô Artur Alvim - Conj. A. E. Carvalho","3","",""
"2728-10","1","2728-10","Jd. Do Castelo - Metrô Penha","3","",""
"272N-10","1","272N-10","Pq. Novo Mundo - Pq. D. Pedro Ii","3","",""
"2730-10","1","2730-10","Vl. Jacui - Metrô Artur Alvim","3","",""
"2731-10","1","2731-10","Vl. Progresso - Metrô Itaquera","3","",""
"2732-10","1","2732-10","Metrô Artur Alvim - Vl. Regina","3","",""
"2733-10","1","2733-10","Pq. Guarani - Metrô Itaquera","3","",""
"2734-10","1","2734-10","Jd. Campos - Metrô Itaquera","3","",""
"2735-10","1","2735-10","Jd. Keralux - Metrô Penha","3","",""
"2735-21","1","2735-21","Jd. São Francisco - Metrô Penha","3","",""
"273D-10","1","273D-10","Pq. D. João Nery - Metrô Artur Alvim","3","",""
"273F-10","1","273F-10","Vl. Mara - Metrô Itaquera","3","",""
"273G-10","1","273G-10","Jd. Helena - Metrô Artur Alvim","3","",""
"273G-21","1","273G-21","Jd. Noêmia - Metrô Artur Alvim","3","",""
"273J-10","1","273J-10","Jd. Romano - Metrô Penha","3","",""
"273L-10","1","273L-10","Cptm José Bonifácio - Metrô Artur Alvim","3","",""
"273N-10","1","273N-10","Cid. Kemel Ii - Metrô Vl. Matilde","3","",""
"273N-41","1","273N-41","Itaim Paulista - Metrô Vl. Matilde","3","",""
"273R-10","1","273R-10","Jd. Robru - Metrô Artur Alvim","3","",""
"273R-42","1","273R-42","Jd. Robru - Metrô Itaquera","3","",""
"273V-10","1","273V-10","Parada Xv De Novembro - Metrô Penha","3","",""
"273X-10","1","273X-10","Jd. Das Oliveiras - Metrô Artur Alvim","3","",""
"2740-10","1","2740-10","Pedra Branca - Metrô Santana","3","",""
"274P-10","1","274P-10","Penha - Metrô Vl. Mariana","3","",""
"2755-10","1","2755-10","Guaianazes - Metrô Penha","3","",""
"2756-10","1","2756-10","Guaianazes - Metrô Patriarca","3","",""
"2762-10","1","2762-10","Ermelino Matarazzo - Metrô Tatuapé","3","",""
"2765-10","1","2765-10","Vl. Cisper - Metrô Tatuapé","3","",""
"2766-10","1","2766-10","Jd. Camargo Velho - Metrô Itaquera","3","",""
"2766-41","1","2766-41","Jd. Indaiá - Metrô Itaquera","3","",""
"2767-10","1","2767-10","Cid. Pedro José Nunes - Metrô Tatuapé","3","",""
"2768-10","1","2768-10","Vl. Mara - Metrô Penha","3","",""
"2769-10","1","2769-10","Jd. Romano - Metrô Tatuapé","3","",""
"2770-10","1","2770-10","Cptm José Bonifácio - Metrô Vl. Matilde","3","",""
"2772-10","1","2772-10","Jd. Nazaré - Metrô Penha","3","",""
"2780-10","1","2780-10","Jd. Camargo Novo - Metrô Itaquera","3","",""
"278A-10","1","278A-10","Metrô Santana - Penha  ","3","",""
"297A-10","1","297A-10","Limão - Metrô Barra Funda","3","",""
"3001-10","1","3001-10","Itaim Paulista - Term. São Miguel","3","",""
"3002-10","1","3002-10","Jd. Mabel - São Miguel","3","",""
"3003-10","1","3003-10","Jd. São Martinho - Cptm Vl. Mara/itaim","3","",""
"3004-10","1","3004-10","Jd. São Martinho - Cptm Vl. Mara/itaim","3","",""
"3006-10","1","3006-10","Jd. Fanganielo - Cptm Guaianazes","3","",""
"3013-10","1","3013-10","Term. Cid. Tiradentes - Metalúrgicos","3","",""
"3015-10","1","3015-10","Jd. Romano - Jd. Mabel","3","",""
"3019-10","1","3019-10","Term. Cid. Tiradentes - Vl. Paulista I","3","",""
"3020-10","1","3020-10","Vl. Cosmopolita - Shop. Aricanduva","3","",""
"3020-31","1","3020-31","Vl. Cosmopolita - Shop. Aricanduva","3","",""
"3021-10","1","3021-10","Pq. Bancário - Vl. Prudente","3","",""
"3023-10","1","3023-10","Shop. Aricanduva - Pq. São Rafael","3","",""
"3024-10","1","3024-10","Vl. Industrial - Vl. Prudente","3","",""
"3025-10","1","3025-10","Jd. Wilma Flor - Cptm Guaianazes","3","",""
"3026-10","1","3026-10","Vl. Iolanda Ii - Cptm Guaianazes","3","",""
"3027-10","1","3027-10","Vl. Minerva - Shop. Aricanduva","3","",""
"3029-10","1","3029-10","Jd. Das Rosas - Metrô Tatuapé","3","",""
"3031-10","1","3031-10","Jd. Alto Paulistano - Metrô Itaquera","3","",""
"3032-10","1","3032-10","Term. Vl. Carrão - Circular","3","",""
"3033-10","1","3033-10","Guaianazes - São Mateus","3","",""
"3046-10","1","3046-10","Vl. Guarani - Metrô Tatuapé","3","",""
"3051-10","1","3051-10","Ermelino Matarazzo - Term. A. E. Carvalho","3","",""
"3053-10","1","3053-10","Jd. Itápolis - Metrô Belém","3","",""
"3054-10","1","3054-10","Jd. Palanque - Hosp. Sapopemba","3","",""
"3063-10","1","3063-10","Guaianazes - Term. São Mateus","3","",""
"3063-41","1","3063-41","Guaianazes - Term. São Mateus","3","",""
"3064-10","1","3064-10","Cid. Tiradentes - Cptm Guaianazes","3","",""
"3064-41","1","3064-41","Term. Cid. Tiradentes - Sta. Etelvina Ii B6","3","",""
"3069-10","1","3069-10","Jd. Recanto Verde Sol - Term. São Mateus","3","",""
